Full_Name	Position	Office
HON. JO MARK M. LIBRE, DPA  	CHED Commissioner	 Chairperson – Designate<br/> BISU, BOR
HON. MAURA CONSOLACION D. CRISTOBAL, EdD., CESO III   	CHED Regional Director IV	 OIC - SUC President<br/> Vice Chairperson
HON. EMMANUEL JOEL VILLANUEVA  <br/>Represented by: HON. RENATO JUDE DIGAO 	Chairperson, Senate Committee on	 Education, Culture and Arts
REP. MARK O. GO                                      <br/>Represented by: CONG. KRISTINE ALEXIE B. TUTOR                 <br/>3rd District Congresswoman                        	Chairperson, House Committee on 	Higher and Technical Education       
HON. JOEL A. ELUMBA  	Regional Executive Director  	 DA Region VII
HON. EFREN B. CARREON                 	Regional Director                                	 NEDA Region VII                                 
HON. JESUS F. ZAMORA, JR.	Regional Director 	DOST Region VII
HON. CARIDAD T. SRI THARAN                       	Private Sector Representative                	
DR. IVY CORAZON A. MANGAYA-AY  	President, BISU Faculty Association	
HON. MARRIETTA B. NAQUILA                 	President, BISU Alumni Association         	
HON. MARK LOUISE C. CAMBANGAY	 President, BISU Federated Supreme Student Government  	
HON. ELANO L. BAG-AO 	BOR/University Secretary	
